Sample_ID,Depth(m),Age(Ma),Sz,Sz_std,Xlf,d13Cc,d18Oc,d13Co,R,R_std,CO2_ice,aFe,aSi,aAl,fFe,aFe_std,aSi_std,aAl_std,fFe_std,aFe/aSi,aFe/aAl,aSi/aAl,aFe/fFe,aSi/fFe,aAl/fFe,aFe/aSi_std,aFe/aAl_std,aSi/aAl_std,aFe/fFe_std,aSi/fFe_std,aAl/fFe_std,CO2,CO2_std,D,D_std
ZJC_6130,61.3,0.69904,379.2806428,49.23785687,96.14583333,-4.782,-9.373,-21.829,0.598772187,0.077732043,227.1027,0.152075,0.1244175,0.15385625,1.63239,0.000219203,0.021202597,0.001617507,0.006208398,1.264888958,0.988179807,0.814739981,0.093159184,0.075891904,0.094277706,0.252006861,0.010542168,0.135467727,0.000382066,0.012606254,0.001056689,240.0858146,1.079313158,18.90533333,0.132428597
ZJC_6135,61.35,0.70048,307.2693032,51.15409559,95.35353535,-4.749,-9.34,-21.284,0.737177055,0.122725001,226.51188,0.1509725,0.146155,0.156815,1.53237,0.002867318,0.024260834,0.012989552,0.039074721,1.076840754,0.972367768,0.936488499,0.098725878,0.094918835,0.102397911,0.198374198,0.08620443,0.178140494,0.003115986,0.015614195,0.008933259,236.7079621,0.639038612,19.44733333,0.066980097
ZJC_6140,61.4,0.70192,352.9924742,61.18776803,83.125,-4.642,-9.549,-21.424,0.645646711,0.111916497,227.90843,0.1260525,0.10298,0.128595,1.4850708,0.018459023,0.002800143,0.01781202,0.03808364,1.22143074,0.987587986,0.817448027,0.084926511,0.069310605,0.086817352,0.185171552,0.203502769,0.123158785,0.012576433,0.002524274,0.011979918,230.6843168,1.117675394,19.056,0.046572524
ZJC_6145,61.45,0.70336,336.0658744,55.71124025,78.95833333,-4.751,-9.521,-21.929,0.691567153,0.11464438,232.41212,0.13646,0.1125325,0.12903375,1.401,0.009475231,0.017327652,0.009947225,0.012727922,1.24292412,1.068193775,0.87557013,0.097019413,0.079409108,0.09223027,0.218713872,0.112900396,0.147661806,0.007092427,0.012965931,0.007409124,232.8210283,1.2097196,20.35333333,0.05182985
ZJC_6700,67,0.7755,753.328621,144.7125721,89.54918033,-7.34,-9.152,-23.544,0.319112328,0.061300692,240.39645,0.11785,0.09719,0.125265,1.40434,0.003005505,0.005023768,0.003487992,0.077725177,1.217805577,0.940981626,0.775300262,0.084278123,0.06959506,0.089457346,0.07149178,0.035680181,0.0452736,0.005212139,0.005104677,0.005626104,241.5117301,0.850852576,19.427,0.082722427
ZJC_6705,67.05,0.776225,494.9049878,65.70919918,84.01960784,-7.26,-8.847,-24.073,0.482645752,0.064081524,238.86379,0.15818875,0.11915125,0.1377975,1.6033188,0.01663999,0.027525899,0.003956262,0.040561342,1.435655562,1.156424758,0.86037331,0.098803763,0.074357948,0.085698097,0.742362654,0.120662567,0.201063821,0.010367865,0.017975255,0.003264438,244.58407,0.414535393,18.73933333,0.103055001
ZJC_6710,67.1,0.77695,546.3014812,80.61593431,87.22772277,-6.93,-8.695,-23.11,0.437238042,0.064521797,238.86379,0.16317375,0.1237875,0.1432425,1.527,0.009710344,0.020622769,0.011656655,0.015556349,1.360953829,1.146749559,0.871741842,0.107095938,0.081044262,0.093803634,0.273733275,0.123578227,0.160079555,0.006524338,0.013571801,0.007516398,249.1256884,0.777457605,18.57933333,0.041016257
ZJC_6715,67.15,0.777675,542.4177531,81.15534523,86.37254902,-6.813,-8.545,-23.14,0.451404049,0.067538076,244.84957,0.17835875,0.14495125,0.14850875,1.512,0.023187799,0.018298156,0.014861617,0.002828427,1.244904924,1.202615478,0.988886116,0.117932503,0.096049908,0.098082696,0.226987355,0.196318506,0.166341627,0.015121408,0.01194904,0.009737868,247.3245346,2.017798603,20.16866667,0.122712401
ZJC_6720,67.2,0.7784,442.2018526,53.6774943,87.40384615,-6.957,-8.56,-24.324,0.556457619,0.067546643,246.06659,0.16843125,0.13968125,0.14522625,1.526,0.003788325,0.016594028,0.014462101,0.031112698,1.224123275,1.176817951,0.967483927,0.110680628,0.091202765,0.095196345,0.151150052,0.123460767,0.156886488,0.003300975,0.010836443,0.009364625,253.6772442,0.786828215,19.68733333,0.127225522
FX_3_0_14,0.745,0.021204,429.6542827,65.92308676,45.2,-6.985682596,-9.295237143,-23.023,0.434108858,0.066606565,186.51673,0.11026,0.083995,0.12249,1.08738,0.002855828,0.00495544,0.003328299,0.018780756,1.318836089,0.901128916,0.687199747,0.101483345,0.077141957,0.112638697,0.087732421,0.034499301,0.045776114,0.003169976,0.00473216,0.003592968,190.0353765,0.098690923,29.02266667,0.067337459
